mode,n,max_dtw_dist,sample_size,set_size,runtime,avg_cr,tot_cr
DP,20000,200,0,0,4,8.09,8.09
DP,40000,200,0,0,5,7.88,7.88
DP,60000,200,0,0,6,7.97,7.97
DP,80000,200,0,0,7,7.96,7.96
DP,100000,200,0,0,8,7.94,7.94
REST-SF30-BND10,20000,200,10000,2579,841,22.12,4.58
REST-SF30-BND10,40000,200,10000,2579,1435,21.88,6.08
REST-SF30-BND10,60000,200,10000,2579,2035,21.64,6.79
REST-SF30-BND10,80000,200,10000,2579,2680,22.25,7.40
REST-SF30-BND10,100000,200,10000,2579,3294,21.93,7.64
REST-SF70,20000,200,10000,1743,2134,12.53,4.82
REST-SF70,40000,200,10000,1743,3726,12.47,6.11
REST-SF70,60000,200,10000,1743,5255,12.45,6.71
REST-SF70,80000,200,10000,1743,6915,12.66,7.14
REST-SF70,100000,200,10000,1743,8495,12.58,7.33
