n,set_size,spatial_filter,dtw_window_size,sf_window_size,runtime,mode
5000,3586,true,200,15,392.817663579,REST-SF15
10000,6019,true,200,15,1330.109633458,REST-SF15
15000,8052,true,200,15,2380.199706844,REST-SF15
20000,9895,true,200,15,3596.047217148,REST-SF15
25000,11552,true,200,15,5501.553638085,REST-SF15
30000,13306,true,200,15,7452.448957305,REST-SF15
35000,15268,true,200,15,9036.077504918,REST-SF15
40000,16675,true,200,15,11032.109963696,REST-SF15
45000,17877,true,200,15,13428.583043712,REST-SF15
50000,19108,true,200,15,16063.541575785,REST-SF15
55000,20228,true,200,15,20334.752452693,REST-SF15
60000,21337,true,200,15,22850.306698012,REST-SF15
65000,22572,true,200,15,26397.736193161,REST-SF15
70000,23709,true,200,15,29649.073178271,REST-SF15
75000,24653,true,200,15,34692.58015914,REST-SF15
80000,25570,true,200,15,37581.922667365,REST-SF15
85000,26456,true,200,15,40430.891243784,REST-SF15
90000,27305,true,200,15,44447.035690932,REST-SF15
95000,28364,true,200,15,46997.062157306,REST-SF15
100000,29449,true,200,15,50419.641525916,REST-SF15
5000,3223,true,200,20,513.646702633,REST-SF20
10000,5263,true,200,20,1628.537016768,REST-SF20
15000,6978,true,200,20,3539.076545918,REST-SF20
20000,8549,true,200,20,5068.301175842,REST-SF20
25000,9948,true,200,20,7926.073453434,REST-SF20
30000,11422,true,200,20,10347.782713157,REST-SF20
35000,13110,true,200,20,12763.088362714,REST-SF20
40000,14262,true,200,20,15595.805577098,REST-SF20
45000,15259,true,200,20,18519.043607404,REST-SF20
50000,16265,true,200,20,21722.697678645,REST-SF20
55000,17192,true,200,20,28331.908143499,REST-SF20
60000,18116,true,200,20,31289.587362344,REST-SF20
65000,19127,true,200,20,35599.423038411,REST-SF20
70000,20090,true,200,20,39417.22622457,REST-SF20
75000,20896,true,200,20,45666.110652224,REST-SF20
80000,21620,true,200,20,49112.707669895,REST-SF20
85000,22331,true,200,20,52860.198827764,REST-SF20
90000,23021,true,200,20,57775.292963779,REST-SF20
95000,23911,true,200,20,60830.288329308,REST-SF20
100000,24823,true,200,20,63845.134097558,REST-SF20
5000,2997,true,200,25,554.68955244,REST-SF25
10000,4850,true,200,25,1701.549503017,REST-SF25
15000,6402,true,200,25,5229.69678853,REST-SF25
20000,7800,true,200,25,7329.938055435,REST-SF25
25000,9010,true,200,25,10725.464973847,REST-SF25
30000,10331,true,200,25,14442.678145628,REST-SF25
35000,11834,true,200,25,16927.630960331,REST-SF25
40000,12890,true,200,25,19382.081374647,REST-SF25
45000,13801,true,200,25,22775.304497818,REST-SF25
50000,14691,true,200,25,27390.105076881,REST-SF25
55000,15501,true,200,25,35488.184440105,REST-SF25
60000,16335,true,200,25,38814.889352024,REST-SF25
65000,17242,true,200,25,42825.617716456,REST-SF25
70000,18087,true,200,25,47277.954585465,REST-SF25
75000,18763,true,200,25,54127.065342506,REST-SF25
80000,19408,true,200,25,57775.534082811,REST-SF25
85000,20027,true,200,25,61837.180308145,REST-SF25
90000,20633,true,200,25,67496.098378804,REST-SF25
95000,21412,true,200,25,70835.985113119,REST-SF25
100000,22224,true,200,25,74229.166206582,REST-SF25
5000,2823,true,200,30,641.991386021,REST-SF30
10000,4529,true,200,30,1931.142747619,REST-SF30
15000,5946,true,200,30,9475.474188916,REST-SF30
20000,7227,true,200,30,12280.472362645,REST-SF30
25000,8335,true,200,30,14598.137498764,REST-SF30
30000,9532,true,200,30,22523.92397329,REST-SF30
35000,10908,true,200,30,24975.720040067,REST-SF30
40000,11845,true,200,30,27881.228942785,REST-SF30
45000,12679,true,200,30,31775.772590283,REST-SF30
50000,13479,true,200,30,37071.423610932,REST-SF30
55000,14206,true,200,30,48198.880480448,REST-SF30
60000,14955,true,200,30,52104.531477243,REST-SF30
65000,15764,true,200,30,56213.300072874,REST-SF30
70000,16510,true,200,30,61492.272049906,REST-SF30
75000,17114,true,200,30,69195.634644164,REST-SF30
80000,17701,true,200,30,73439.462821034,REST-SF30
85000,18238,true,200,30,77708.733153254,REST-SF30
90000,18801,true,200,30,84363.08135183,REST-SF30
95000,19521,true,200,30,87660.88748416,REST-SF30
100000,20255,true,200,30,92644.268744896,REST-SF30
5000,3982,true,200,10,339.288812273,REST-SF10
10000,6887,true,200,10,1211.155330725,REST-SF10
15000,9404,true,200,10,2146.163175257,REST-SF10
20000,11664,true,200,10,3195.05268189,REST-SF10
25000,13682,true,200,10,4470.106503757,REST-SF10
30000,15847,true,200,10,5889.828992061,REST-SF10
35000,18207,true,200,10,7264.17811966,REST-SF10
40000,19938,true,200,10,9813.112395713,REST-SF10
45000,21479,true,200,10,11773.468848164,REST-SF10
50000,23018,true,200,10,14153.771836695,REST-SF10
