mode,n,dtw_thresh,sample_size,k,runtime,avg_cr,tot_cr
REST-SF70-KNN3,100000,200,10000,3,16972,6.46,4.62
REST-SF70-KNN3,100000,200,20000,3,25960,6.96,4.89
REST-SF70-KNN3,100000,200,30000,3,31606,7.11,4.92
REST-SF70-KNN3,100000,200,40000,3,38135,7.39,4.99
REST-SF70-KNN3,100000,200,50000,3,38135,7.54,4.95
REST-SF70-KNN3,100000,200,60000,3,38135,7.64,4.91
REST-SF70-KNN3,100000,200,70000,3,38135,7.71,4.84
REST-SF70-KNN3,100000,200,80000,3,38135,7.76,4.75
XREST-SF70-KNN3,100000,200,10000,3,1932,2.37,2.05
XREST-SF70-KNN3,100000,200,20000,3,2304,2.39,2.06
XREST-SF70-KNN3,100000,200,30000,3,3175,2.40,2.05
XREST-SF70-KNN3,100000,200,40000,3,3585,2.41,2.05
XREST-SF70-KNN3,100000,200,50000,3,3966,2.41,2.05
XREST-SF70-KNN3,100000,200,60000,3,4144,2.40,2.03
XREST-SF70-KNN3,100000,200,70000,3,4401,2.41,2.03
XREST-SF70-KNN3,100000,200,80000,3,4644,2.42,2.03
XREST-SF70-KNN3,100000,200,90000,3,4835,2.40,2.00
